"FECHA","Horas","O3","NO2","CO","SO2","PM.10","PM.2.5","Categoria_O3","Categoria_NO2","Categoria_CO","Categoria_SO2","Categoria_PM.10","Categoria_PM.2.5"
"01/01/2024","00:00",7,14,14,4,101,97,"Buena","Buena","Buena","Buena","Mala","Regular"
"01/01/2024","01:00",6,15,15,4,104,107,"Buena","Buena","Buena","Buena","Mala","Mala"
"01/01/2024","02:00",6,15,16,4,106,111,"Buena","Buena","Buena","Buena","Mala","Mala"
"01/01/2024","03:00",6,15,18,4,110,119,"Buena","Buena","Buena","Buena","Mala","Mala"
"01/01/2024","04:00",6,12,18,4,113,126,"Buena","Buena","Buena","Buena","Mala","Mala"
"01/01/2024","05:00",6,10,17,4,112,127,"Buena","Buena","Buena","Buena","Mala","Mala"
"01/01/2024","06:00",6,9,16,4,112,129,"Buena","Buena","Buena","Buena","Mala","Mala"
"01/01/2024","07:00",7,8,16,4,113,130,"Buena","Buena","Buena","Buena","Mala","Mala"
"01/01/2024","08:00",7,8,15,4,113,131,"Buena","Buena","Buena","Buena","Mala","Mala"
"01/01/2024","09:00",13,6,15,4,113,131,"Buena","Buena","Buena","Buena","Mala","Mala"
"01/01/2024","10:00",22,4,14,4,114,132,"Buena","Buena","Buena","Buena","Mala","Mala"
"01/01/2024","11:00",29,2,12,4,113,134,"Buena","Buena","Buena","Buena","Mala","Mala"
"01/01/2024","12:00",38,2,11,4,113,133,"Buena","Buena","Buena","Buena","Mala","Mala"
"01/01/2024","13:00",44,3,10,4,113,133,"Buena","Buena","Buena","Buena","Mala","Mala"
"01/01/2024","14:00",53,3,9,4,113,133,"Regular","Buena","Buena","Buena","Mala","Mala"
"01/01/2024","15:00",63,4,9,4,114,134,"Regular","Buena","Buena","Buena","Mala","Mala"
"01/01/2024","16:00",46,3,8,4,114,134,"Buena","Buena","Buena","Buena","Mala","Mala"
"01/01/2024","17:00",42,2,8,4,114,135,"Buena","Buena","Buena","Buena","Mala","Mala"
"01/01/2024","18:00",41,3,8,4,114,135,"Buena","Buena","Buena","Buena","Mala","Mala"
"01/01/2024","19:00",37,4,8,4,114,136,"Buena","Buena","Buena","Buena","Mala","Mala"
"01/01/2024","20:00",29,9,8,4,114,136,"Buena","Buena","Buena","Buena","Mala","Mala"
"01/01/2024","21:00",9,61,9,4,114,136,"Buena","Regular","Buena","Buena","Mala","Mala"
"01/01/2024","22:00",9,16,10,4,113,135,"Buena","Buena","Buena","Buena","Mala","Mala"
"01/01/2024","23:00",8,15,10,4,112,133,"Buena","Buena","Buena","Buena","Mala","Mala"
"02/01/2024","00:00",9,15,11,4,108,129,"Buena","Buena","Buena","Buena","Mala","Mala"
"02/01/2024","01:00",5,16,12,4,106,123,"Buena","Buena","Buena","Buena","Mala","Mala"
"02/01/2024","02:00",6,15,12,4,103,117,"Buena","Buena","Buena","Buena","Mala","Mala"
"02/01/2024","03:00",7,13,12,4,91,109,"Buena","Buena","Buena","Buena","Regular","Mala"
"02/01/2024","04:00",6,13,12,4,78,97,"Buena","Buena","Buena","Buena","Regular","Regular"
"02/01/2024","05:00",5,13,11,4,74,90,"Buena","Buena","Buena","Buena","Regular","Regular"
"02/01/2024","06:00",6,13,11,4,70,85,"Buena","Buena","Buena","Buena","Regular","Regular"
"02/01/2024","07:00",6,11,11,4,67,81,"Buena","Buena","Buena","Buena","Regular","Regular"
"02/01/2024","08:00",5,12,11,4,67,78,"Buena","Buena","Buena","Buena","Regular","Regular"
"02/01/2024","09:00",7,13,11,4,68,76,"Buena","Buena","Buena","Buena","Regular","Regular"
